application_id,apply_time,id_number,phone_number,device_id,ip_address,apply_region,apply_channel,loan_amount,apply_freq_7d,id_consistency,is_new_device,credit_history,fraud_flag
APP000058,2026-07-03 12:24:00,512049851724447232,13471272240,DEV_295195,223.104.119.171,湖南,APP,25263.81,1,1,0,有记录,0
APP000059,2026-07-20 14:33:00,512871147732010170,15383679007,DEV_635725,10.0.100.116,山东,H5,3218.59,2,1,1,有记录,0
APP000060,2026-07-09 17:55:00,517747657041200928,15911754549,DEV_614846,10.0.251.10,浙江,H5,24450.87,3,1,1,有记录,0
APP000061,2026-07-01 21:46:00,519622885158799684,17463388095,DEV_749326,117.136.173.101,上海,APP,21369.23,3,1,0,有记录,0
APP000062,2026-07-04 21:56:00,513473792749072801,17362691719,DEV_316947,192.168.12.206,四川,H5,24113.54,3,1,0,有记录,0
APP000063,2026-07-18 08:49:00,512503068317641726,18567604469,DEV_187430,10.0.195.50,四川,线下,10273.33,1,1,1,有记录,0
APP000064,2026-07-21 10:07:00,514455985160211915,17759799861,DEV_826473,223.104.47.111,北京,APP,8369.28,3,1,0,有记录,0
APP000065,2026-07-10 13:10:00,511632145057661945,19637381943,DEV_376296,172.16.58.173,浙江,APP,1118.81,3,1,1,无记录,0
APP000066,2026-07-15 00:46:00,517903396852701713,15986091105,DEV_557623,10.0.15.94,北京,H5,17341.76,1,1,0,有记录,0
APP000067,2026-07-29 23:16:00,513323288377441975,13398756682,DEV_409002,117.136.205.100,浙江,APP,14739.28,3,1,0,有记录,0
APP000068,2026-07-17 05:32:00,516030097925132719,15579023200,DEV_155425,117.136.145.113,浙江,APP,3395.59,2,1,1,有记录,0
APP000069,2026-07-30 03:55:00,518700937814604761,17621821791,DEV_640342,10.0.230.69,上海,APP,22681.38,1,1,1,无记录,0
APP000070,2026-07-21 09:53:00,518486634209536773,15938548183,DEV_924167,117.136.252.121,四川,H5,28325.28,5,1,1,无记录,1
APP000071,2026-07-21 16:38:00,511024471462730147,13833201681,DEV_472752,192.168.171.217,山东,H5,19019.98,3,1,0,有记录,0
APP000072,2026-07-07 04:23:00,519622885158799684,17993429894,DEV_962706,172.16.93.235,广东,H5,17153.26,3,1,1,有记录,0
APP000073,2026-07-25 05:34:00,517427080869782922,18183533496,DEV_859725,223.104.159.51,山东,APP,21199.41,1,1,0,无记录,0
APP000074,2026-07-25 16:58:00,512781444718939530,17568037536,DEV_310003,10.0.197.225,上海,线下,8791.3,1,1,1,有记录,0
APP000075,2026-07-01 19:20:00,516533399948532089,18354782376,DEV_292058,223.104.120.2,广东,线下,1517.64,2,1,1,有记录,0
APP000076,2026-07-16 00:07:00,516439243588537982,19956458265,DEV_138929,192.168.30.175,湖南,线下,18984.45,2,1,0,无记录,0
APP000077,2026-07-30 11:56:00,516568348268999626,18933611596,DEV_811160,172.16.79.174,北京,APP,5905.41,2,1,0,有记录,0
APP000078,2026-07-27 09:15:00,515968448237337912,13732243160,DEV_392342,117.136.25.214,江苏,APP,1616.14,1,1,0,有记录,0
APP000079,2026-07-02 07:56:00,516814521117518689,13145893607,DEV_775614,223.104.174.128,江苏,合作渠道,22003.53,2,1,1,有记录,0
APP000080,2026-07-19 02:05:00,515073855128177512,17935938085,DEV_149722,10.0.161.207,上海,H5,20058.86,3,1,0,有记录,0
APP000081,2026-07-24 15:52:00,515941049670667033,18921318437,DEV_792305,10.0.187.215,江苏,APP,11274.95,3,1,1,有记录,0
APP000082,2026-07-03 17:49:00,511410792372982689,17980761249,DEV_686390,223.104.2.210,浙江,APP,18369.93,3,1,0,有记录,0
APP000083,2026-07-05 04:42:00,511218718637599805,18492406461,DEV_959294,117.136.109.131,山东,APP,15009.69,3,1,1,有记录,0
APP000084,2026-07-16 17:10:00,515895790012482554,15393284532,DEV_979677,172.16.105.131,江苏,线下,17545.0,2,1,1,无记录,0
APP000085,2026-07-09 16:55:00,517007933496050166,18999260223,DEV_369137,117.136.177.138,山东,H5,15563.52,3,1,0,无记录,0
APP000086,2026-07-20 13:13:00,519724630198642423,17516931956,DEV_660481,117.136.108.194,湖南,APP,16388.49,2,1,0,有记录,0
APP000087,2026-07-30 17:48:00,516267850720811556,17883673320,DEV_188857,192.168.9.238,广东,APP,13960.46,2,1,0,有记录,0
APP000088,2026-07-24 22:12:00,515806484229405720,19295417054,DEV_387674,117.136.88.173,山东,H5,5446.25,3,1,1,无记录,0
APP000089,2026-07-23 09:25:00,518908726176072348,17266148276,DEV_597486,117.136.122.52,上海,线下,12548.39,2,1,1,有记录,0
APP000090,2026-07-22 20:23:00,514889547876989992,15524222220,DEV_989552,172.16.129.97,广东,APP,2439.19,3,1,0,无记录,0
APP000091,2026-07-15 16:28:00,518077515366377805,18538654121,DEV_766048,223.104.221.213,四川,H5,28443.46,2,1,1,有记录,0
APP000092,2026-07-04 07:14:00,518654814973746052,17392665118,DEV_130471,117.136.76.213,江苏,合作渠道,22489.3,3,1,0,有记录,0
APP000093,2026-07-03 10:01:00,512471523910292950,18185514406,DEV_682125,10.0.243.179,江苏,APP,18583.96,3,1,0,有记录,0
APP000094,2026-07-19 17:14:00,516595724043474125,13230474972,DEV_854506,10.0.255.219,山东,H5,19418.07,1,1,1,有记录,0
APP000095,2026-07-19 07:00:00,512871147732010170,15315054170,DEV_740026,223.104.71.70,山东,APP,5985.43,3,1,0,无记录,0
APP000096,2026-07-03 22:40:00,511441776561248156,13816612328,DEV_910834,223.104.14.44,山东,H5,3231.98,3,1,0,有记录,0
APP000097,2026-07-02 07:04:00,515041165972634755,18453506845,DEV_910834,223.104.52.39,广东,H5,28257.33,3,1,0,无记录,0
APP000098,2026-07-29 01:55:00,515230573472435861,17633187276,DEV_667300,223.104.102.215,湖南,H5,3750.63,2,1,0,有记录,0
APP000099,2026-07-11 02:32:00,511853779599594652,13914123692,DEV_829570,223.104.169.109,山东,H5,18307.98,1,1,0,无记录,0
APP000100,2026-07-08 08:42:00,517471255213760375,19240333563,DEV_862205,172.16.153.101,湖南,APP,25993.24,3,1,0,有记录,0
APP000101,2026-07-16 06:34:00,515477871121663651,17388152727,DEV_791095,172.16.189.86,四川,线下,2021.78,2,1,1,有记录,0
APP000102,2026-07-05 23:59:00,514985200894346810,13703875995,DEV_798360,117.136.114.168,山东,H5,21009.94,3,1,0,有记录,0
APP000103,2026-07-29 18:36:00,517340913111786190,18552015070,DEV_284578,223.104.99.159,浙江,APP,21986.57,1,1,0,有记录,0
APP000104,2026-07-16 07:50:00,519281398909837801,17449541965,DEV_978397,172.16.210.150,北京,H5,27060.84,1,1,0,有记录,0
APP000105,2026-07-16 13:12:00,511474916194232154,18104027443,DEV_704093,223.104.191.21,境外,合作渠道,42314.23,12,1,1,无记录,1
APP000106,2026-07-04 03:42:00,514579303614987283,13608834631,DEV_884828,172.16.91.216,浙江,APP,23888.0,2,1,1,无记录,0
APP000107,2026-07-14 11:27:00,512576741241513152,13836828463,DEV_450946,10.0.71.219,北京,线下,6147.55,3,1,1,有记录,0
APP000108,2026-07-14 14:55:00,513768222394312908,19124728380,DEV_673429,223.104.233.65,江苏,线下,15151.06,3,1,0,无记录,0
APP000109,2026-07-24 01:43:00,518588290457927147,13321274065,DEV_391121,172.16.166.10,四川,APP,19736.34,2,1,1,无记录,0
APP000110,2026-07-21 20:06:00,513898986818097887,17291069859,DEV_275727,10.0.65.7,浙江,合作渠道,26881.29,3,1,0,有记录,0
APP000111,2026-07-02 12:46:00,517859693259140849,18205705141,DEV_807349,172.16.62.114,广东,APP,1751.96,2,1,0,有记录,0
APP000112,2026-07-11 03:15:00,518539749096173997,13659174581,DEV_623277,223.104.44.154,四川,APP,29335.16,3,1,0,有记录,0
APP000113,2026-07-07 06:34:00,516353621894559067,15830199142,DEV_341243,117.136.186.70,江苏,APP,49860.22,5,1,0,有记录,1
APP000114,2026-07-15 04:27:00,513630276420865675,15406295291,DEV_127711,117.136.157.102,湖南,线下,22608.7,3,1,0,有记录,0
APP000115,2026-07-06 08:29:00,515371840908051208,17954789410,DEV_551976,172.16.225.59,四川,H5,2563.84,1,1,1,无记录,0
APP000116,2026-07-08 02:28:00,514781582686876401,15100911043,DEV_213345,117.136.67.86,上海,APP,15566.77,1,1,0,有记录,0
APP000117,2026-07-26 17:06:00,517154853465579220,18740684021,DEV_153473,192.168.61.113,江苏,APP,6840.14,3,1,1,有记录,0
APP000118,2026-07-02 20:34:00,516465275233282930,17224887333,DEV_869221,172.16.72.142,湖南,H5,23102.01,3,1,0,有记录,0
APP000119,2026-07-27 00:05:00,518399497320331922,15481545031,DEV_210247,192.168.198.248,湖南,APP,5352.7,2,1,0,无记录,0
APP000120,2026-07-30 07:10:00,514355884506159399,15794001564,DEV_996708,223.104.135.2,湖南,线下,20364.53,3,1,1,有记录,0
APP000121,2026-07-14 15:30:00,512077971775170166,15662990246,DEV_801443,172.16.59.137,四川,线下,4414.75,2,1,0,无记录,0
APP000122,2026-07-07 12:57:00,511359660186487699,17649915726,DEV_620021,10.0.51.187,湖南,H5,28159.98,1,1,0,无记录,0
APP000123,2026-07-02 05:24:00,513797740633569392,15223393630,DEV_397044,117.136.96.237,广东,合作渠道,10634.88,1,1,1,无记录,0
APP000124,2026-07-01 12:16:00,511987234601367303,13536869717,DEV_188857,223.104.149.49,江苏,APP,5046.79,3,1,1,有记录,0
APP000125,2026-07-30 14:18:00,516570898709201991,19996353032,DEV_904386,10.0.185.156,浙江,合作渠道,17077.89,2,1,1,有记录,0
APP000126,2026-07-14 22:46:00,512984135694804507,13291982290,DEV_878771,192.168.64.105,山东,H5,23576.7,3,1,1,有记录,0
APP000127,2026-07-26 17:42:00,519203100649340391,18355102635,DEV_376296,117.136.98.78,湖南,H5,26541.86,1,1,1,有记录,0
APP000128,2026-07-23 15:09:00,517124010783567430,15965385900,DEV_197026,117.136.11.179,四川,APP,7080.35,1,1,1,有记录,0
APP000129,2026-07-07 09:13:00,511482611231261632,18823001425,DEV_321447,172.16.208.200,山东,线下,28711.56,3,1,0,无记录,0
APP000130,2026-07-02 18:47:00,515815498085133138,18147156400,DEV_441916,192.168.122.57,江苏,APP,6375.93,2,1,0,无记录,0
APP000131,2026-07-18 01:47:00,514304963919195419,15103875020,DEV_761310,223.104.54.15,北京,APP,12315.06,2,1,0,有记录,0
APP000132,2026-07-11 01:03:00,516658955168740903,17516931956,DEV_692379,172.16.23.91,上海,APP,15452.71,1,1,0,有记录,0
APP000133,2026-07-19 15:32:00,513244182226189628,18195323866,DEV_565713,192.168.185.226,北京,H5,11040.27,2,1,1,有记录,0
APP000134,2026-07-30 16:10:00,517751961064628792,19248992136,DEV_532065,223.104.56.46,四川,H5,24912.36,2,1,1,无记录,0
APP000135,2026-07-02 16:05:00,519518839774573144,18544120877,DEV_992927,172.16.215.8,未知地区,线下,36879.97,12,1,1,无记录,1
APP000136,2026-07-28 05:04:00,513672450184819737,17178831808,DEV_739902,172.16.27.12,上海,线下,7211.5,2,1,0,无记录,0
APP000137,2026-07-20 02:43:00,519881972239964771,17759799861,DEV_495184,10.0.105.93,湖南,APP,25688.07,1,1,1,有记录,0
APP000138,2026-07-28 07:25:00,516027187500369155,19203356530,DEV_196722,117.136.59.223,上海,H5,28343.37,2,1,0,有记录,0
APP000139,2026-07-04 18:15:00,515270680269331542,13676029696,DEV_942339,117.136.116.162,上海,APP,26865.67,3,1,1,有记录,0
APP000140,2026-07-19 19:02:00,514281160499100420,17596437722,DEV_906665,10.0.52.229,浙江,合作渠道,10547.89,6,1,1,有记录,1
APP000141,2026-07-20 02:26:00,518569443916497016,18189423283,DEV_387675,103.26.120.72,四川,合作渠道,12868.84,11,1,1,无记录,1
APP000142,2026-07-22 18:36:00,513085196115940821,19617203525,DEV_891579,223.104.69.178,上海,H5,14354.32,3,1,0,有记录,0
APP000143,2026-07-17 10:59:00,512689731791286857,19876534920,DEV_706067,223.104.222.111,浙江,H5,4367.69,2,1,0,无记录,0
APP000144,2026-07-09 06:42:00,511941344760948377,18990421111,DEV_710988,192.168.64.56,江苏,APP,28982.83,2,1,1,有记录,0
APP000145,2026-07-23 10:15:00,513261189003468616,13318814601,DEV_981114,10.0.232.125,浙江,APP,3665.94,2,1,1,有记录,0
APP000146,2026-07-09 12:08:00,516604726426121203,19617203525,DEV_830687,10.0.211.201,四川,线下,9098.79,3,1,1,无记录,0
APP000147,2026-07-22 20:19:00,511325121375658963,15467873396,DEV_561332,117.136.159.122,江苏,APP,6059.6,3,1,0,有记录,0
APP000148,2026-07-15 10:59:00,519515837767499616,15231365105,DEV_433531,172.16.29.86,广东,APP,19928.59,2,1,0,有记录,0
APP000149,2026-07-25 02:00:00,515806484229405720,18600074797,DEV_954056,117.136.38.201,江苏,APP,15342.36,3,1,1,有记录,0
APP000150,2026-07-15 19:36:00,515526384091122528,15640034553,DEV_830008,192.168.182.245,湖南,线下,5175.25,2,1,1,有记录,0
APP000151,2026-07-04 02:34:00,512988661680199034,13306717213,DEV_906665,172.16.210.209,江苏,H5,19199.68,12,0,0,无记录,1
APP000152,2026-07-07 16:16:00,515293401536415471,18541686640,DEV_183879,192.168.14.225,上海,APP,15265.04,1,1,0,有记录,0
APP000153,2026-07-05 11:56:00,516480186774037842,17658517601,DEV_288992,192.168.6.46,浙江,H5,21286.59,3,1,1,无记录,0
APP000154,2026-07-03 07:23:00,515300528127358573,15355911507,DEV_485749,223.104.112.12,广东,线下,26024.62,2,1,0,无记录,0
APP000155,2026-07-10 05:28:00,511309156182980365,15535674804,DEV_801443,117.136.29.175,山东,APP,13095.42,11,1,1,无记录,1
APP000156,2026-07-27 17:45:00,514468135926648698,17685443106,DEV_902196,117.136.84.30,江苏,APP,23746.41,3,1,0,无记录,0
APP000157,2026-07-10 19:51:00,516586342346199423,19580302423,DEV_536162,223.104.77.251,四川,APP,20610.79,3,1,0,有记录,0
APP000158,2026-07-21 16:00:00,513384639208678085,17988643566,DEV_912237,117.136.68.152,山东,APP,9976.04,1,1,1,有记录,0
APP000159,2026-07-22 17:19:00,512987032032074276,13618813636,DEV_189170,223.104.122.145,湖南,APP,5380.77,1,1,1,无记录,0
APP000160,2026-07-30 21:06:00,516441106541134078,15453552017,DEV_351648,223.104.52.133,江苏,H5,18666.84,1,1,0,有记录,0
APP000161,2026-07-29 04:16:00,512384498926659184,18155259447,DEV_132108,10.0.255.61,江苏,H5,6368.94,1,1,0,无记录,0
APP000162,2026-07-04 03:47:00,519754946519098624,18185514406,DEV_190538,192.168.110.23,山东,H5,13739.32,3,1,0,有记录,0
APP000163,2026-07-18 04:17:00,519921386589026012,17644290384,DEV_297400,172.16.65.56,广东,APP,7915.34,3,1,0,无记录,0
APP000164,2026-07-10 19:13:00,516004409079772781,18779670047,DEV_662975,172.16.115.221,山东,线下,14953.3,3,1,0,有记录,0
APP000165,2026-07-23 10:13:00,513526487049478730,18212020126,DEV_350836,172.16.70.181,浙江,APP,4246.07,1,1,1,无记录,0
APP000166,2026-07-22 20:54:00,517347648455939652,15121928229,DEV_992252,223.104.136.152,江苏,合作渠道,19835.0,1,1,0,有记录,0
APP000167,2026-07-09 16:31:00,516140473504763928,13730961932,DEV_644461,10.0.219.88,上海,H5,14204.98,1,1,0,有记录,0
APP000168,2026-07-09 01:05:00,513769091237530284,17662834914,DEV_917306,192.168.243.207,江苏,APP,18910.79,1,1,0,有记录,0
APP000169,2026-07-21 13:53:00,513129258796434745,17182045603,DEV_718324,172.16.172.194,北京,H5,18876.86,3,1,0,无记录,0
APP000170,2026-07-09 01:00:00,515005379538164938,15674899834,DEV_361111,10.0.105.9,上海,APP,5160.75,2,1,0,无记录,0
APP000171,2026-07-11 04:40:00,511838241270493862,15441778521,DEV_893505,10.0.195.120,上海,H5,2462.01,1,1,0,无记录,0
APP000172,2026-07-09 05:47:00,511649047128144294,19159917524,DEV_153473,192.168.186.104,江苏,APP,25923.46,3,1,1,有记录,0
APP000173,2026-07-15 17:45:00,517614319279761781,19903389382,DEV_302247,117.136.121.86,浙江,APP,10549.31,2,1,0,无记录,0
APP000174,2026-07-14 17:00:00,515673257375534490,13557676725,DEV_393644,223.104.194.121,湖南,线下,17430.67,3,1,0,有记录,0
APP000175,2026-07-04 02:56:00,512229886182070669,19765764210,DEV_482258,192.168.124.22,山东,APP,20229.58,2,1,1,有记录,0
APP000176,2026-07-23 04:34:00,511504896465280924,19934014168,DEV_328227,117.136.175.242,四川,线下,25560.54,3,1,1,有记录,0
APP000177,2026-07-02 11:37:00,514914701235036871,13648388626,DEV_248240,192.168.242.41,北京,APP,10570.21,1,1,0,有记录,0
APP000178,2026-07-18 04:27:00,514658474362130096,18800302657,DEV_519752,117.136.47.62,山东,H5,28617.37,2,1,1,无记录,0
APP000179,2026-07-05 01:19:00,511855778817884795,18559381725,DEV_159510,223.104.237.25,上海,H5,45671.58,5,1,1,无记录,1
APP000180,2026-07-12 01:57:00,512962085817452735,19882411034,DEV_977970,10.0.146.29,上海,H5,24395.32,2,1,0,有记录,0
APP000181,2026-07-12 06:43:00,514546176792988425,19381809577,DEV_409745,10.0.49.126,山东,APP,1063.39,1,1,0,有记录,0
APP000182,2026-07-08 21:06:00,516140473504763928,18829521659,DEV_947371,223.104.65.94,上海,APP,23216.48,2,1,1,无记录,0
APP000183,2026-07-12 17:56:00,517852491416860134,17717776407,DEV_931713,117.136.134.248,湖南,APP,21386.12,10,1,1,无记录,1
APP000184,2026-07-28 13:39:00,513383230898138815,19605161747,DEV_882353,172.16.246.173,江苏,APP,20983.53,2,1,0,有记录,0
APP000185,2026-07-24 04:59:00,516140473504763928,13179994634,DEV_349794,192.168.180.189,上海,H5,22436.55,3,1,0,无记录,0
APP000186,2026-07-30 07:55:00,515955834456622952,17855088496,DEV_573227,10.0.233.234,广东,线下,16874.53,2,1,1,有记录,0
APP000187,2026-07-06 05:56:00,512408985739083521,13905674189,DEV_360395,10.0.128.106,湖南,线下,15336.74,1,1,0,有记录,0
APP000188,2026-07-14 00:11:00,514622849939089261,18925305364,DEV_156449,117.136.115.3,山东,H5,24221.07,2,1,0,无记录,0
APP000189,2026-07-24 10:50:00,513844883842536462,13668102114,DEV_699443,172.16.235.178,浙江,H5,21477.87,3,1,1,无记录,0
APP000190,2026-07-30 13:51:00,511164930853686632,18143894791,DEV_387925,117.136.200.251,四川,H5,7488.39,1,1,1,无记录,0
APP000191,2026-07-22 23:51:00,518712418621042752,15526389360,DEV_541792,192.168.126.149,上海,APP,9566.12,3,1,1,有记录,0
APP000192,2026-07-08 08:10:00,515306138782931027,15333448013,DEV_819183,192.168.195.12,四川,线下,23727.37,3,1,1,有记录,0
APP000193,2026-07-26 22:06:00,517837031754380274,13903364932,DEV_704093,223.104.217.165,江苏,H5,26985.36,9,1,1,有记录,1
APP000194,2026-07-13 01:54:00,519091359928553595,15336821900,DEV_950687,172.16.31.227,浙江,H5,14349.64,2,1,1,有记录,0
APP000195,2026-07-16 07:12:00,511050524383805826,19618656232,DEV_473767,192.168.210.110,四川,APP,11098.84,1,1,1,有记录,0
APP000196,2026-07-27 14:22:00,517662369036289177,17951120012,DEV_927626,172.16.11.127,山东,APP,5319.9,3,1,0,无记录,0
APP000197,2026-07-10 07:14:00,516494486959463688,15632983529,DEV_774564,192.168.248.117,四川,APP,16096.57,3,1,0,无记录,0
APP000198,2026-07-01 21:12:00,512845759833991403,13648388626,DEV_229195,117.136.53.195,四川,线下,19178.3,3,1,0,有记录,0
APP000199,2026-07-13 10:17:00,513002521310962272,18805300551,DEV_732092,117.136.175.166,浙江,H5,13245.99,1,1,0,无记录,0
APP000200,2026-07-28 02:49:00,512579890223790065,17665393090,DEV_597810,172.16.113.136,北京,APP,20749.44,3,1,1,无记录,0
APP000201,2026-07-09 11:41:00,519730358929880858,17748556509,DEV_297711,172.16.132.249,江苏,合作渠道,27229.9,3,1,1,有记录,0
